group1,group2,group3
-0.2,-0.37,1.5
0.59,0.97,-0.079
-1.7,-2.1,-0.63
0.085,-1.2,0.52
0.42,-0.0061,0.85
-1.8,0.16,-1.8
-0.015,0.77,0.24
-1.7,-0.96,0.53
0.16,0.66,1.8
-0.29,0.37,-0.39
0.92,0.43,1.3
0.61,-0.63,-0.11
1.5,0.32,2.4
-0.86,1.8,-0.49
-0.8,-1.1,-0.42
0.033,-1.7,-0.98
1.5,0.85,-0.26
-0.15,-0.8,0.08
-0.23,0.28,-0.82
0.53,1.5,-0.48
-1.4,0.41,-1.8
2.2,-2.3,0.26
0.21,2.4,-1.8
-0.12,0.79,-1.7
-0.87,-0.47,-0.84
-0.4,1.5,-0.82
-0.75,-0.24,0.62
-0.38,-2.5,-0.88
-0.39,1.2,0.26
0.51,-2.,1.1
-0.63,0.57,0.79
0.42,-1.,-0.23
0.45,-0.13,-0.2
0.15,-0.85,-0.42
0.21,-0.6,1.1
-0.017,0.9,-0.75
-0.1,1.1,-1.4
-0.69,-2.,0.25
0.22,-1.3,2.2
-0.62,0.26,-0.13
1.7,-0.29,-1.3
-0.85,-0.015,-0.86
-1.2,0.2,0.33
0.94,1.8,1.4
-0.11,1.4,-0.15
-0.064,0.14,-0.38
-1.1,0.08,0.45
0.51,0.33,-0.85
0.52,-0.24,1.3
-0.85,0.33,-0.41
